"set","gene"
"AxisE_gamma_minus_alpha_minus_core20","LCP2"
"AxisE_gamma_minus_alpha_minus_core20","LYSMD2"
"AxisE_gamma_minus_alpha_minus_core20","MARCHF1"
"AxisE_gamma_minus_alpha_minus_core20","MT2A"
"AxisE_gamma_minus_alpha_minus_core20","MTHFD2"
"AxisE_gamma_minus_alpha_minus_core20","MVP"
"AxisE_gamma_minus_alpha_minus_core20","MYD88"
"AxisE_gamma_minus_alpha_minus_core20","NAMPT"
"AxisE_gamma_minus_alpha_minus_core20","NCOA3"
"AxisE_gamma_minus_alpha_minus_core20","NFKB1"
"AxisE_gamma_minus_alpha_minus_core20","NFKBIA"
"AxisE_gamma_minus_alpha_minus_core20","NLRC5"
"AxisE_gamma_minus_alpha_minus_core20","NOD1"
"AxisE_gamma_minus_alpha_minus_core20","NUP93"
"AxisE_gamma_minus_alpha_minus_core20","P2RY14"
"AxisE_gamma_minus_alpha_minus_core20","PDE4B"
"AxisE_gamma_minus_alpha_minus_core20","PELI1"
"AxisE_gamma_minus_alpha_minus_core20","PFKP"
"AxisE_gamma_minus_alpha_minus_core20","PIM1"
"AxisE_gamma_minus_alpha_minus_core20","PLA2G4A"
"AxisE_gamma_minus_alpha_minus_core20","PML"
"AxisE_gamma_minus_alpha_minus_core20","PNP"
"AxisE_gamma_minus_alpha_minus_core20","PSMA2"
"AxisE_gamma_minus_alpha_minus_core20","PSMB10"
"AxisE_gamma_minus_alpha_minus_core20","PSMB2"
"AxisE_gamma_minus_alpha_minus_core20","PTGS2"
"AxisE_gamma_minus_alpha_minus_core20","PTPN1"
"AxisE_gamma_minus_alpha_minus_core20","PTPN2"
"AxisE_gamma_minus_alpha_minus_core20","PTPN6"
"AxisE_gamma_minus_alpha_minus_core20","RAPGEF6"
"AxisE_gamma_minus_alpha_minus_core20","RBCK1"
"AxisE_gamma_minus_alpha_minus_core20","RIGI"
"AxisE_gamma_minus_alpha_minus_core20","RIPK1"
"AxisE_gamma_minus_alpha_minus_core20","RNF213"
"AxisE_gamma_minus_alpha_minus_core20","SAMHD1"
"AxisE_gamma_minus_alpha_minus_core20","SECTM1"
"AxisE_gamma_minus_alpha_minus_core20","SELP"
"AxisE_gamma_minus_alpha_minus_core20","SERPING1"
"AxisE_gamma_minus_alpha_minus_core20","SLAMF7"
"AxisE_gamma_minus_alpha_minus_core20","SOCS1"
"AxisE_gamma_minus_alpha_minus_core20","SOCS3"
"AxisE_gamma_minus_alpha_minus_core20","SOD2"
"AxisE_gamma_minus_alpha_minus_core20","SPPL2A"
"AxisE_gamma_minus_alpha_minus_core20","SRI"
"AxisE_gamma_minus_alpha_minus_core20","SSPN"
"AxisE_gamma_minus_alpha_minus_core20","ST3GAL5"
